group_name,path
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/6.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/7.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/16.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/40.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/63.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/71.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/94.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/113.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/116.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/128.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/129.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/130.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/131.png
Clear lungs with no acute abnormality,/shared/scratch/0/home/v_neelesh_bisht/projects/InvDiff/data/datasets/mimic_cxr_imagesets/images/138.png
