"Name","acc@5","acc@N","acc@1","State","Notes","User","Tags","Created","Runtime","Sweep","anti_cca_enabled","captioner.model","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","differ.clip_model","differ.method","differ.model","differ.prompt_cls_0","differ.prompt_cls_1","evaluator.method","evaluator.model","evaluator.n_hypotheses","project","proposer.method","proposer.model","proposer.num_hypotheses","proposer.num_rounds","proposer.num_samples","proposer.prompt","proposer.sampling_method","ranker.classify_threshold","ranker.clip_dataset","ranker.clip_model","ranker.max_num_samples","ranker.method","seed","wandb","top_1_difference","top_1_score","top_2_difference","top_2_score","top_3_difference","top_3_score","top_4_difference","top_4_score","top_5_difference","top_5_score"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T08:05:31.000Z","40","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/149_hard.yaml","People practicing the Sun Salutation in yoga","People practicing the Tree Pose in yoga","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","The sun salutation a is a series of yoga postures","0.9803","A woman is doing sun salutation yoga in a circle","0.9774","Sun salutations a & b","0.9767","A diagram showing the stages of the sun salutation asanas sun salutation asanas, yoga asanas, yoga","0.9702","The image shows a sequence of sun salutation yoga poses","0.9694"
"PairedImageSets","0","0","0","finished","-","","","2025-12-01T08:04:43.000Z","41","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/148_hard.yaml","Cakes decorated with marzipan","Cakes decorated with buttercream roses","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a bowl of fruit in a white bowl on a table","0.6958","a birthday cake decorated with pumpkins and oranges","0.6508","a cake decorated with carrots and bunnies on a white plate","0.6108","a slice of chocolate cake on a plate with a knife","0.5372","a birthday cake with a castle on top","0.4883"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T08:03:51.000Z","45","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/147_hard.yaml","Basketball players attempting free throws","Basketball players attempting slam dunks","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","the image shows a group of people practicing free throws","0.8596","a man is preparing to throw a basketball","0.8077","how to shoot a basketball","0.8028000000000001","a man dribbles a basketball in a gym","0.7317","a young boy wearing glasses is holding a basketball","0.7207"
"PairedImageSets","0.5","0.5","0.5","finished","-","","","2025-12-01T08:02:58.000Z","46","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/146_hard.yaml","Male professional swimmers in freestyle race","Male professional swimmers in butterfly race","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","olympic swimmers on the starting blocks at the olympics in rio de janeiro","0.63815","a man in a swimsuit is giving a thumbs up","0.51645","a swimmer is diving into a swimming pool","0.48875","olympic swimmer person celebrates after winning the gold medal in the men's 200m butterfly at the 2012 summer olympics","0.45605000000000007","a man in a green shirt is waving his arms in the air","0.43345000000000006"
"PairedImageSets","0.5","0.5","0.5","finished","-","","","2025-12-01T08:02:10.000Z","41","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/145_hard.yaml","Residential buildings in Art Deco style","Residential buildings in Brutalist style","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Art deco building with a palm tree in front of it","0.9523","The Chrysler building in New York city","0.7587","The Mercatillo theater is a historic building in Mercatillo, Texas","0.6468","A large white house with a fountain and palm trees","0.6169","A tall building with a blue sky behind it","0.5378000000000001"
"PairedImageSets","0.5","0.5","0","finished","-","","","2025-12-01T08:01:18.000Z","45","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/144_hard.yaml","Portraits painted in cubist style","Portraits painted in impressionist style","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a winnie the pooh teddy bear in a geometric shape","0.9664","this is a superman portrait in a polygonal style","0.8653000000000001","a colorful painting of a woman's face","0.8441","a painting of a woman with colorful hair","0.8114","this is a painting of a woman with a hat on her head","0.8059000000000001"
"PairedImageSets","1","1","0","finished","-","","","2025-12-01T08:00:29.000Z","42","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/143_hard.yaml","Books with hardcover binding","Books with leather-bound covers","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","how to make a super easy binding","0.9276","a pair of white notebooks with a grey ribbon tied around them","0.9069","a stack of colorful notebooks on a white background","0.889","a set of supplies for a book making kit","0.8611","a yellow hardcover book with the words hardcover perfect binder book co","0.8283"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T07:59:41.000Z","40","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/142_hard.yaml","Acoustic guitars being played","Classical guitars being played","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a man playing an acoustic guitar in a recording studio","0.6474","a man is playing an acoustic guitar in a store","0.6410000000000001","a man is playing an acoustic guitar","0.6381000000000001","a man is playing an acoustic guitar in front of a window","0.627","a close up of a person playing an acoustic guitar","0.6196999999999999"
"PairedImageSets","1","1","0.5","finished","-","","","2025-12-01T07:58:52.000Z","43","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/141_hard.yaml","Poems written in free verse","Poems written in sonnet form","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a self - verse poem with the words getting to know you writing lesson","0.86955","how to write a poem in free verse","0.79395","a poster with the words flying like a bird in the sky looking down at the town","0.71765","free verse by indian poet indian poets, indian poets, indian poets, indian poets, indian poets","0.69955","free verse poetry bring me all your dreams bring me all your dreams bring me all your dreams bring me all your dreams bring me all your dreams bring me","0.6989500000000002"
"PairedImageSets","1","1","0.5","finished","-","","","2025-12-01T07:58:04.000Z","40","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/140_hard.yaml","Cities with Gothic architecture","Cities with Modernist architecture","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","an ornate cathedral in czech republic","0.992","this image shows a large cathedral with two spires","0.9889","a large cathedral with spires in the background","0.9836","a black and white photograph of a cathedral","0.9815","the image shows a hallway in a cathedral","0.9725"
