"Name","acc@N","acc@5","acc@1","State","Notes","User","Tags","Created","Runtime","Sweep","anti_cca_enabled","anti_cca_with_universal_vocab_enabled","bottle_neck_exp","captioner.model","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","differ.clip_model","differ.method","differ.model","differ.prompt_cls_0","differ.prompt_cls_1","evaluator.method","evaluator.model","evaluator.n_hypotheses","hypo_file","prep_knowledge_bank","project","proposer.method","proposer.model","proposer.num_hypotheses","proposer.num_rounds","proposer.num_samples","proposer.prompt","proposer.sampling_method","ranker.classify_threshold","ranker.clip_dataset","ranker.clip_model","ranker.max_num_samples","ranker.method","seed","wandb","top_1_difference","top_1_score","top_2_difference","top_2_score","top_3_difference"
"PairedImageSets","1","1","1","finished","-","","","2025-12-17T00:00:39.000Z","33","","false","false","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/149_hard.yaml","People practicing the Sun Salutation in yoga","People practicing the Tree Pose in yoga","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","hypothesis_knowledge_bank.json","false","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Sun Salutation A and B series","0.9743","Morning Sun Salutations","0.9716","Sun Salutation A yoga pose"
"PairedImageSets","0","0","0","finished","-","","","2025-12-16T23:59:55.000Z","35","","false","false","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/148_hard.yaml","Cakes decorated with marzipan","Cakes decorated with buttercream roses","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","hypothesis_knowledge_bank.json","false","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","images include other items, like cookies or a plastic container with fruit","0.8164999999999999","bowl of fruit","0.7339","cakes with carrots as decoration "
"PairedImageSets","1","1","1","finished","-","","","2025-12-16T23:59:10.000Z","35","","false","false","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/147_hard.yaml","Basketball players attempting free throws","Basketball players attempting slam dunks","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","hypothesis_knowledge_bank.json","false","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","People practicing free throws","0.8936000000000001","Instructions on throwing a free throw","0.8915","Player practicing free throws"
"PairedImageSets","0","0","0","finished","-","","","2025-12-16T23:58:25.000Z","36","","false","false","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/146_hard.yaml","Male professional swimmers in freestyle race","Male professional swimmers in butterfly race","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","hypothesis_knowledge_bank.json","false","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","swimmers giving a thumbs up","0.6907500000000001","Swimmers posing for photos","0.6626500000000001","swimmers sitting on chairs in a pool"
"PairedImageSets","1","1","1","finished","-","","","2025-12-16T23:57:40.000Z","35","","false","false","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/145_hard.yaml","Residential buildings in Art Deco style","Residential buildings in Brutalist style","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","hypothesis_knowledge_bank.json","false","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Art Deco architecture","0.9213","Art deco houses","0.9194","Features of Art Deco architecture"
"PairedImageSets","1","1","1","finished","-","","","2025-12-16T23:56:55.000Z","35","","false","false","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/144_hard.yaml","Portraits painted in cubist style","Portraits painted in impressionist style","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","hypothesis_knowledge_bank.json","false","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","geometric shapes on faces","0.9898","Portraits with geometric elements or shapes","0.9818","Abstract or stylized depictions of humans"
"PairedImageSets","0.5","0.5","0","finished","-","","","2025-12-16T23:56:09.000Z","35","","false","false","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/143_hard.yaml","Books with hardcover binding","Books with leather-bound covers","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","hypothesis_knowledge_bank.json","false","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Handbook binding kit","0.9233","DIY bookbinding activities","0.9096","Books with spiral binding"
"PairedImageSets","1","1","1","finished","-","","","2025-12-16T23:55:25.000Z","35","","false","false","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/142_hard.yaml","Acoustic guitars being played","Classical guitars being played","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","hypothesis_knowledge_bank.json","false","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Two men playing acoustic guitars","0.6220000000000001","Man with tattoos playing guitar","0.6216","performing in a recording studio"
"PairedImageSets","1","1","1","finished","-","","","2025-12-16T23:54:42.000Z","33","","false","false","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/141_hard.yaml","Poems written in free verse","Poems written in sonnet form","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","hypothesis_knowledge_bank.json","false","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","free verse poetry","0.84805","Free verse poetry","0.84805","Free verse poetry"
"PairedImageSets","1","1","1","finished","-","","","2025-12-16T23:53:57.000Z","35","","false","false","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/140_hard.yaml","Cities with Gothic architecture","Cities with Modernist architecture","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCAUniversalVocab","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","hypothesis_knowledge_bank.json","false","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","Gothic architecture","0.9961","Gothic architecture","0.9961","medieval architecture"
