"Name","acc@5","acc@N","acc@1","State","Notes","User","Tags","Created","Runtime","Sweep","anti_cca_enabled","captioner.model","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","differ.clip_model","differ.method","differ.model","differ.prompt_cls_0","differ.prompt_cls_1","evaluator.method","evaluator.model","evaluator.n_hypotheses","project","proposer.method","proposer.model","proposer.num_hypotheses","proposer.num_rounds","proposer.num_samples","proposer.prompt","proposer.sampling_method","ranker.classify_threshold","ranker.clip_dataset","ranker.clip_model","ranker.max_num_samples","ranker.method","seed","wandb","top_1_difference","top_1_score","top_2_difference","top_2_score","top_3_difference","top_3_score","top_4_difference","top_4_score","top_5_difference","top_5_score"
"PairedImageSets","0.5","0.5","0.5","finished","-","","","2025-12-01T07:26:09.000Z","39","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/99_medium.yaml","Classic movies in black and white","Classic movies in Technicolor","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","black and white image of a man and woman holding a gun in the rain","0.8839","a man and woman talking on the phone in front of a mirror","0.8313","a man and a woman standing in a courtroom","0.7864","a man in a suit and a woman in a hat","0.7559","a man and woman in a hat looking at each other","0.7488999999999999"
"PairedImageSets","1","1","0.5","finished","-","","","2025-12-01T07:25:25.000Z","37","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/98_medium.yaml","Wild horses in American plains","Wild zebras in African savannahs","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a brown horse standing in the brush","0.9409","a brown horse is standing in a grassy field","0.9336","horses running in the desert with the words nat geo wild","0.9098","a horse is standing in the middle of a field","0.907","a group of horses running in a field at sunset","0.9068"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T07:24:39.000Z","40","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/97_medium.yaml","Dishes from Thai cuisine","Dishes from Vietnamese cuisine","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a bowl of thai curry with shrimp and vegetables","0.8552000000000001","a bowl of thai curry with shrimp on a white plate","0.8513000000000001","a plate of fried rice with vegetables and a lime","0.8241","chinese chicken stir fried with onions and cashew nuts in a white bowl","0.6929","a pineapple stuffed with rice and vegetables on a plate","0.6895000000000001"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T07:23:54.000Z","38","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/96_medium.yaml","Fruits arranged in a still life setting","Flowers arranged in a still life setting","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","three apples and pears on a plate","0.9467","a variety of fruits and vegetables on a wooden table","0.9397","a painting of a bunch of fruit on a table","0.9382","a basket of fruit on a table","0.9217","a group of oranges and apples on a table in a dark room","0.9119"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T07:23:06.000Z","41","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/95_medium.yaml","Seascapes during a storm","Seascapes during a calm day","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","an oil painting of a stormy sea","0.96725","a painting of a stormy sea with waves crashing over rocks","0.96395","an image of a stormy ocean with waves crashing against the side of a ship","0.96185","a stormy sky with dark clouds and stormy waves","0.94405","the image shows a large wave crashing into the ocean","0.92915"
"PairedImageSets","0.5","0.5","0.5","finished","-","","","2025-12-01T07:22:21.000Z","37","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/94_medium.yaml","Cars from the 1960s","Cars from the 1980s","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a 1960 ford galaxie parked in a garage","0.9613","a maroon chevrolet bel air is parked in front of a house","0.8366","a blue classic car parked on the side of the road","0.8180999999999999","a black classic car parked on the side of the road","0.7265","a blue chevrolet corvette parked on a cobblestone driveway","0.647"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T07:21:37.000Z","38","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/93_medium.yaml","Rivers in tropical rainforests","Rivers in alpine meadows","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a stream running through a lush tropical rainforest","0.99","a watercolor painting of a river in the jungle","0.9877","a waterfall in a tropical forest","0.9821","an aerial view of a river in the amazon rainforest","0.982","a lake surrounded by palm trees in a tropical rainforest","0.9809"
"PairedImageSets","0.5","0.5","0","finished","-","","","2025-12-01T07:20:52.000Z","37","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/92_medium.yaml","Candies made from dark chocolate","Candies made from milk chocolate","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","valentine's day chocolates in a black box with a red napkin","0.6936","a muffin tin filled with chocolate cranberry cups","0.6683000000000001","chocolate covered cranberries on a blue plate","0.6655","heart shaped chocolates in a bowl on a pink napkin","0.6134000000000001","chocolate covered walnuts on a white background","0.6046"
"PairedImageSets","0.5","0.5","0","finished","-","","","2025-12-01T07:20:03.000Z","42","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/91_medium.yaml","Abstract oil paintings with warm colors","Abstract oil paintings with cool colors","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a painting of wine glasses on a table","0.61895","a painting of red poppies on a gold background","0.60795","a painting of boats docked in a harbor","0.54145","the image shows a group of abstract paintings on a wall","0.52155","a person is holding a piece of paper with a painting on it","0.5183499999999999"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T07:19:15.000Z","40","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/90_medium.yaml","People dancing tango","People dancing waltz","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a couple dancing a tango in front of a dark background","0.9793","a man and woman dancing a tango on a black background","0.9727","a couple dancing a tango on a stage","0.9675","a man and woman tango dancing in a dance studio","0.9402","a black and white photograph of a couple dancing a tango","0.9327"
