"Name","acc@5","acc@N","acc@1","State","Notes","User","Tags","Created","Runtime","Sweep","anti_cca_enabled","captioner.model","captioner.prompt","config","data.group1","data.group2","data.name","data.purity","data.root","data.subset","differ.clip_model","differ.method","differ.model","differ.prompt_cls_0","differ.prompt_cls_1","evaluator.method","evaluator.model","evaluator.n_hypotheses","project","proposer.method","proposer.model","proposer.num_hypotheses","proposer.num_rounds","proposer.num_samples","proposer.prompt","proposer.sampling_method","ranker.classify_threshold","ranker.clip_dataset","ranker.clip_model","ranker.max_num_samples","ranker.method","seed","wandb","top_1_difference","top_1_score","top_2_difference","top_2_score","top_3_difference","top_3_score","top_4_difference","top_4_score","top_5_difference","top_5_score"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T06:46:23.000Z","45","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/49_easy.yaml","Lanterns in a festival","Fireworks in a festival","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","chinese lanterns are lit up at night in a park","1","chinese lanterns lit up in a tunnel at night","0.9997","chinese lanterns on a stairway at night","0.9996","colorful lanterns in a market in hoi an, vietnam","0.9996","chinese lanterns float in a pond at night","0.9994"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T06:45:37.000Z","39","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/48_easy.yaml","Oranges on a tree","Bird nests on a tree","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","many oranges are growing on a tree","1","an orange tree in front of a house","1","a tree with oranges growing on it","1","an orange tree with oranges growing on it against a blue sky","1","oranges are growing on a tree in an orchard","1"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T06:44:48.000Z","41","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/47_easy.yaml","Bridges over a river","Boats on a river","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a bridge spanning over a river in the middle of a forest","0.9975","a bridge over a river in ireland","0.9894","a suspension bridge over a river in ireland","0.987","a bridge over a river with trees in the background","0.9867","a bridge over a river with the sun setting behind it","0.9791"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T06:44:00.000Z","41","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/46_easy.yaml","Zebra crossings on a street","Traffic lights on a street","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","an image of a zebra crossing in a city","0.9827","a rainbow painted crosswalk on a street in london","0.9181","an image of a city street with a pedestrian crossing","0.9173","black and white image of a man crossing a street","0.8994","a man walks across an abbey road in london, england","0.8862999999999999"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T06:43:06.000Z","46","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/45_easy.yaml","Chocolates in a box","Candies in a jar","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","an assortment of chocolates in a gold box","1","an assortment of chocolates in a gold tray","1","a box of chocolates in a gold box","0.9999","an assortment of chocolates in a black box","0.9999","a gift box filled with chocolates and nuts","0.9994"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T06:42:16.000Z","41","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/44_easy.yaml","Mice in a barn","Horses in a barn","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a small mouse sits on top of a stalk of wheat","0.998","a mouse is eating corn on a wooden table","0.987","a small mouse is sleeping on the ground","0.9809","a barn owl with a rat in its mouth","0.9745","a group of mice are walking on a pile of hay","0.9688"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T06:41:26.000Z","42","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/43_easy.yaml","Sandcastles on a beach","Umbrellas on a beach","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a sand castle on the beach","1","a sand castle on the beach in front of a wave","1","two girls playing with a sand castle on the beach","1","sand castle on the beach with a sand bucket and a sand castle on the beach with a sand","1","a boy is building a sand castle on the beach - stock image","0.9999"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T06:40:37.000Z","42","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/42_easy.yaml","People in an elevator","People on an escalator","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a man in a suit is standing in front of an elevator door","0.9532","a group of business people standing in front of an elevator","0.9463","a businessman and a woman are talking in an elevator","0.9371000000000002","two business people talking in an elevator","0.9342","a group of young people in an elevator talking to each other","0.9113"
"PairedImageSets","1","1","1","finished","-","","","2025-12-01T06:39:47.000Z","42","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/41_easy.yaml","Tomatoes in a basket","Eggs in a basket","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a basket full of tomatoes in a market","1","red tomatoes in wooden baskets at a market","1","a basket full of tomatoes on a wooden table","0.9999","red tomatoes in a wicker basket on a table in the garden","0.9999","a wicker basket with tomatoes and mint leaves on a black table","0.9998"
"PairedImageSets","1","1","0.5","finished","-","","","2025-12-01T06:39:02.000Z","38","","false","blip","Describe this image in detail.","configs/sweep_visdiffbench_purity1.0_seed0/40_easy.yaml","Kangaroos in a desert","Camels in a desert","PairedImageSets","1","./data","false","ViT-bigG-14","AntiCCA","gpt-4","CLS_0_DIFF","CLS_1_DIFF","GPTEvaluator","gpt-4","5","PairedImageSets","LLMProposer","gpt-4","10","3","20","CLIP_FRIENDLY","random","0.3","laion2b_s39b_b160k","ViT-bigG-14","5000","CLIPRanker","0","true","a kangaroo with its mouth open eating a leaf","0.9836","a kangaroo standing on a red dirt ground","0.9779","a kangaroo with a baby on its back","0.9728","a kangaroo is standing in a field in the rain","0.9727","a kangaroo is standing in a field with a full moon in the background","0.9682"
